19/07/12 20:31
Données du projet

                           	Segments	 Mots	Caractères (sans espaces)	Caractères (avec espaces)	
Total :                    	   11192	47988	                   256034	                   292247	
Restants :                 	       0	    0	                        0	                        0	
Segments uniques :         	    8121	39222	                   209627	                   240207	
Segments uniques restants :	       0	    0	                        0	                        0	


Statistiques par fichiers :

Nom du fichier               	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
Mage_GoogleAnalytics.csv.po  	             4	                0	               1	                        0	         7	            0	           2	                    0	                             43	                                 0	                               15	                                         0	                             46	                                 0	                               16	                                         0	
Mage_GoogleBase.csv.po       	            89	                0	              69	                        0	       364	            0	         331	                    0	                           1865	                                 0	                             1680	                                         0	                           2134	                                 0	                             1936	                                         0	
Mage_GoogleCheckout.csv.po   	           135	                0	             122	                        0	       510	            0	         490	                    0	                           2870	                                 0	                             2769	                                         0	                           3241	                                 0	                             3133	                                         0	
Mage_GoogleOptimizer.csv.po  	            33	                0	              27	                        0	       118	            0	         107	                    0	                            662	                                 0	                              593	                                         0	                            749	                                 0	                              673	                                         0	
Mage_Ideal.csv.po            	            60	                0	              43	                        0	       345	            0	         302	                    0	                           1846	                                 0	                             1602	                                         0	                           2128	                                 0	                             1861	                                         0	
Mage_ImportExport.csv.po     	            73	                0	              60	                        0	       345	            0	         318	                    0	                           1930	                                 0	                             1760	                                         0	                           2203	                                 0	                             2017	                                         0	
Mage_Index.csv.po            	            50	                0	              36	                        0	       175	            0	         159	                    0	                            923	                                 0	                              830	                                         0	                           1039	                                 0	                              944	                                         0	
Mage_Install.csv.po          	           127	                0	             104	                        0	       882	            0	         836	                    0	                           4651	                                 0	                             4368	                                         0	                           5400	                                 0	                             5094	                                         0	
Mage_Log.csv.po              	             9	                0	               4	                        0	        23	            0	          11	                    0	                            129	                                 0	                               58	                                         0	                            143	                                 0	                               65	                                         0	
Mage_Media.csv.po            	             3	                0	               3	                        0	        30	            0	          30	                    0	                            142	                                 0	                              142	                                         0	                            166	                                 0	                              166	                                         0	
Mage_Newsletter.csv.po       	           138	                0	              83	                        0	       401	            0	         297	                    0	                           2578	                                 0	                             1964	                                         0	                           2836	                                 0	                             2173	                                         0	
Mage_Oauth.csv.po            	           118	                0	              70	                        0	       415	            0	         292	                    0	                           2391	                                 0	                             1661	                                         0	                           2687	                                 0	                             1885	                                         0	
Mage_Ogone.csv.po            	            59	                0	              52	                        0	       318	            0	         309	                    0	                           1721	                                 0	                             1661	                                         0	                           1970	                                 0	                             1908	                                         0	
Mage_Oscommerce.csv.po       	           131	                0	              78	                        0	       383	            0	         292	                    0	                           2183	                                 0	                             1629	                                         0	                           2431	                                 0	                             1838	                                         0	
Mage_Page.csv.po             	            75	                0	              35	                        0	       348	            0	         162	                    0	                           1713	                                 0	                              847	                                         0	                           1985	                                 0	                              968	                                         0	
Mage_PageCache.csv.po        	            11	                0	              11	                        0	        57	            0	          57	                    0	                            307	                                 0	                              307	                                         0	                            353	                                 0	                              353	                                         0	
Mage_Paybox.csv.po           	           106	                0	              79	                        0	       495	            0	         394	                    0	                           2510	                                 0	                             1990	                                         0	                           2896	                                 0	                             2306	                                         0	
Mage_Paygate.csv.po          	            73	                0	              46	                        0	       476	            0	         411	                    0	                           2646	                                 0	                             2249	                                         0	                           3040	                                 0	                             2605	                                         0	
Mage_Payment.csv.po          	           147	                0	             106	                        0	       670	            0	         552	                    0	                           3663	                                 0	                             3028	                                         0	                           4171	                                 0	                             3465	                                         0	
Mage_Paypal.csv.po           	           496	                0	             402	                        0	      2689	            0	        2326	                    0	                          15296	                                 0	                            13310	                                         0	                          17436	                                 0	                            15181	                                         0	
Mage_PaypalUk.csv.po         	            23	                0	               1	                        0	       102	            0	           7	                    0	                            599	                                 0	                               52	                                         0	                            677	                                 0	                               58	                                         0	
Mage_Persistent.csv.po       	            64	                0	              13	                        0	       239	            0	          54	                    0	                           1302	                                 0	                              318	                                         0	                           1475	                                 0	                              359	                                         0	
