10/11/11 15:31
Données du projet

                           	Segments	 Mots	Caractères (sans espaces)	Caractères (avec espaces)	
Total :                    	   10042	42387	                   226493	                   258264	
Restants :                 	      14	   19	                       87	                       92	
Segments uniques :         	    7284	34550	                   185027	                   211831	
Segments uniques restants :	      14	   19	                       87	                       92	


Statistiques par fichiers :

Nom du fichier               	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
Mage_GoogleOptimizer.csv.po  	            33	                0	              27	                        0	       118	            0	         107	                    0	                            662	                                 0	                              593	                                         0	                            749	                                 0	                              673	                                         0	
Mage_Ideal.csv.po            	            60	                0	              43	                        0	       345	            0	         302	                    0	                           1846	                                 0	                             1602	                                         0	                           2128	                                 0	                             1861	                                         0	
Mage_ImportExport.csv.po     	            73	                0	              60	                        0	       345	            0	         318	                    0	                           1930	                                 0	                             1760	                                         0	                           2203	                                 0	                             2017	                                         0	
Mage_Index.csv.po            	            44	                0	              34	                        0	       167	            0	         156	                    0	                            883	                                 0	                              810	                                         0	                            997	                                 0	                              923	                                         0	
Mage_Install.csv.po          	           124	                0	             102	                        0	       856	            0	         812	                    0	                           4505	                                 0	                             4234	                                         0	                           5231	                                 0	                             4938	                                         0	
Mage_Log.csv.po              	             9	                0	               4	                        0	        23	            0	          11	                    0	                            129	                                 0	                               58	                                         0	                            143	                                 0	                               65	                                         0	
Mage_Media.csv.po            	             3	                0	               3	                        0	        30	            0	          30	                    0	                            142	                                 0	                              142	                                         0	                            166	                                 0	                              166	                                         0	
Mage_Newsletter.csv.po       	           138	                0	              85	                        0	       401	            0	         303	                    0	                           2578	                                 0	                             1997	                                         0	                           2836	                                 0	                             2210	                                         0	
Mage_Ogone.csv.po            	            59	                0	              52	                        0	       318	            0	         309	                    0	                           1721	                                 0	                             1661	                                         0	                           1970	                                 0	                             1908	                                         0	
Mage_Oscommerce.csv.po       	           131	                0	              78	                        0	       383	            0	         292	                    0	                           2183	                                 0	                             1629	                                         0	                           2431	                                 0	                             1838	                                         0	
Mage_Page.csv.po             	            71	                0	              33	                        0	       288	            0	         111	                    0	                           1413	                                 0	                              593	                                         0	                           1632	                                 0	                              668	                                         0	
Mage_PageCache.csv.po        	            11	                0	              11	                        0	        57	            0	          57	                    0	                            307	                                 0	                              307	                                         0	                            353	                                 0	                              353	                                         0	
Mage_Paybox.csv.po           	           106	                0	              79	                        0	       495	            0	         394	                    0	                           2510	                                 0	                             1990	                                         0	                           2896	                                 0	                             2306	                                         0	
Mage_Paygate.csv.po          	            73	                0	              48	                        0	       476	            0	         413	                    0	                           2646	                                 0	                             2265	                                         0	                           3040	                                 0	                             2621	                                         0	
Mage_Payment.csv.po          	           130	                0	              93	                        0	       573	            0	         472	                    0	                           3108	                                 0	                             2576	                                         0	                           3536	                                 0	                             2946	                                         0	
Mage_Paypal.csv.po           	           463	                2	             383	                        2	      2522	            2	        2187	                    2	                          14334	                                 7	                            12515	                                         7	                          16340	                                 7	                            14264	                                         7	
Mage_PaypalUk.csv.po         	            23	                0	               1	                        0	       102	            0	           7	                    0	                            599	                                 0	                               52	                                         0	                            677	                                 0	                               58	                                         0	
Mage_Persistent.csv.po       	            61	                0	              11	                        0	       218	            0	          35	                    0	                           1193	                                 0	                              218	                                         0	                           1348	                                 0	                              242	                                         0	
Mage_Poll.csv.po             	            42	                0	              33	                        0	       116	            0	         103	                    0	                            560	                                 0	                              492	                                         0	                            634	                                 0	                              562	                                         0	
Mage_ProductAlert.csv.po     	            35	                0	              27	                        0	       195	            0	         178	                    0	                           1034	                                 0	                              931	                                         0	                           1194	                                 0	                             1082	                                         0	
Mage_Protx.csv.po            	            31	                0	              18	                        0	       121	            0	          79	                    0	                            635	                                 0	                              405	                                         0	                            722	                                 0	                              466	                                         0	
Mage_Rating.csv.po           	            28	                0	              18	                        0	        85	            0	          66	                    0	                            403	                                 0	                              329	                                         0	                            460	                                 0	                              377	                                         0	
Mage_Reports.csv.po          	           179	                0	             102	                        0	       461	            0	         333	                    0	                           2575	                                 0	                             1860	                                         0	                           2856	                                 0	                             2090	                                         0	
Mage_Review.csv.po           	            90	                0	              54	                        0	       272	            0	         202	                    0	                           1378	                                 0	                             1043	                                         0	                           1550	                                 0	                             1181	                                         0	
Mage_Rss.csv.po              	            58	                0	              45	                        0	       174	            0	         156	                    0	                            870	                                 0	                              770	                                         0	                            975	                                 0	                              870	                                         0	
Mage_Rule.csv.po             	            35	                0	              26	                        0	        92	            0	          76	                    0	                            422	                                 0	                              343	                                         0	                            479	                                 0	                              393	                                         0	
Mage_Sales.csv.po            	           871	                5	             639	                        5	      3280	            6	        2769	                    6	                          17462	                                19	                            14611	                                        19	                          19858	                                20	                            16724	                                        20	
Mage_SalesRule.csv.po        	           118	                0	              60	                        0	       405	            0	         271	                    0	                           2062	                                 0	                             1389	                                         0	                           2347	                                 0	                             1598	                                         0	
Mage_Sendfriend.csv.po       	            38	                0	              27	                        0	       159	            0	         137	                    0	                            778	                                 0	                              668	                                         0	                            899	                                 0	                              778	                                         0	
Mage_Shipping.csv.po         	            86	                0	              57	                        0	       271	            0	         221	                    0	                           1549	                                 0	                             1264	                                         0	                           1734	                                 0	                             1429	                                         0	
Mage_Sitemap.csv.po          	            46	                0	              29	                        0	       171	            0	         145	                    0	                            894	                                 0	                              747	                                         0	                           1019	                                 0	                              863	                                         0	
Mage_Strikeiron.csv.po       	            47	                0	              39	                        0	       213	            0	         196	                    0	                           1140	                                 0	                             1042	                                         0	                           1304	                                 0	                             1197	                                         0	
Mage_Tag.csv.po              	            99	                0	              54	                        0	       324	            0	         242	                    0	                           1573	                                 0	                             1178	                                         0	                           1795	                                 0	                             1364	                                         0	
Mage_Tax.csv.po              	           160	                0	             107	                        0	       630	            0	         492	                    0	                           3150	                                 0	                             2504	                                         0	                           3626	                                 0	                             2894	                                         0	
Mage_Usa.csv.po              	           250	                6	             213	                        6	       713	            9	         651	                    9	                           3994	                                52	                             3644	                                        52	                           4455	                                55	                             4080	                                        55	
Mage_Weee.csv.po             	            19	                0	               7	                        0	        73	            0	          30	                    0	                            377	                                 0	                              163	                                         0	                            431	                                 0	                              186	                                         0	
Mage_Widget.csv.po           	            74	                0	              33	                        0	       191	            0	         103	                    0	                           1061	                                 0	                              591	                                         0	                           1179	                                 0	                              660	                                         0	
Mage_Wishlist.csv.po         	            93	                0	              66	                        0	       428	            0	         369	                    0	                           2194	                                 0	                             1894	                                         0	                           2512	                                 0	                             2179	                                         0	
Mage_XmlConnect.csv.po       	           610	                1	             429	                        1	      3588	            2	        3021	                    2	                          18701	                                 9	                            15763	                                         9	                          21620	                                10	                            18308	                                        10	
Phoenix_Moneybookers.csv.po  	            47	                0	              40	                        0	       295	            0	         279	                    0	                           1866	                                 0	                             1770	                                         0	                           2124	                                 0	                             2019	                                         0	
